Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-BL1A,Ethernet1,172.31.251.41/31,spine,DC1-SPINE1,Ethernet6,172.31.251.40/31
l3leaf,DC1-BL1A,Ethernet2,172.31.251.43/31,spine,DC1-SPINE2,Ethernet6,172.31.251.42/31
l3leaf,DC1-BL1A,Ethernet3,172.31.251.45/31,spine,DC1-SPINE3,Ethernet6,172.31.251.44/31
l3leaf,DC1-BL1A,Ethernet4,172.31.251.47/31,spine,DC1-SPINE4,Ethernet6,172.31.251.46/31
l3leaf,DC1-BL1B,Ethernet1,172.31.251.49/31,spine,DC1-SPINE1,Ethernet7,172.31.251.48/31
l3leaf,DC1-BL1B,Ethernet2,172.31.251.51/31,spine,DC1-SPINE2,Ethernet7,172.31.251.50/31
l3leaf,DC1-BL1B,Ethernet3,172.31.251.53/31,spine,DC1-SPINE3,Ethernet7,172.31.251.52/31
l3leaf,DC1-BL1B,Ethernet4,172.31.251.55/31,spine,DC1-SPINE4,Ethernet7,172.31.251.54/31
l3leaf,DC1-LEAF1A,Ethernet1,172.31.251.1/31,spine,DC1-SPINE1,Ethernet1,172.31.251.0/31
l3leaf,DC1-LEAF1A,Ethernet2,172.31.251.3/31,spine,DC1-SPINE2,Ethernet1,172.31.251.2/31
l3leaf,DC1-LEAF1A,Ethernet3,172.31.251.5/31,spine,DC1-SPINE3,Ethernet1,172.31.251.4/31
l3leaf,DC1-LEAF1A,Ethernet4,172.31.251.7/31,spine,DC1-SPINE4,Ethernet1,172.31.251.6/31
l3leaf,DC1-LEAF2A,Ethernet1,172.31.251.9/31,spine,DC1-SPINE1,Ethernet2,172.31.251.8/31
l3leaf,DC1-LEAF2A,Ethernet2,172.31.251.11/31,spine,DC1-SPINE2,Ethernet2,172.31.251.10/31
l3leaf,DC1-LEAF2A,Ethernet3,172.31.251.13/31,spine,DC1-SPINE3,Ethernet2,172.31.251.12/31
l3leaf,DC1-LEAF2A,Ethernet4,172.31.251.15/31,spine,DC1-SPINE4,Ethernet2,172.31.251.14/31
l3leaf,DC1-LEAF2B,Ethernet1,172.31.251.17/31,spine,DC1-SPINE1,Ethernet3,172.31.251.16/31
l3leaf,DC1-LEAF2B,Ethernet2,172.31.251.19/31,spine,DC1-SPINE2,Ethernet3,172.31.251.18/31
l3leaf,DC1-LEAF2B,Ethernet3,172.31.251.21/31,spine,DC1-SPINE3,Ethernet3,172.31.251.20/31
l3leaf,DC1-LEAF2B,Ethernet4,172.31.251.23/31,spine,DC1-SPINE4,Ethernet3,172.31.251.22/31
spine,DC1-SPINE1,Ethernet4,172.31.251.24/31,l3leaf,DC1-SVC3A,Ethernet1,172.31.251.25/31
spine,DC1-SPINE1,Ethernet5,172.31.251.32/31,l3leaf,DC1-SVC3B,Ethernet1,172.31.251.33/31
spine,DC1-SPINE2,Ethernet4,172.31.251.26/31,l3leaf,DC1-SVC3A,Ethernet2,172.31.251.27/31
spine,DC1-SPINE2,Ethernet5,172.31.251.34/31,l3leaf,DC1-SVC3B,Ethernet2,172.31.251.35/31
spine,DC1-SPINE3,Ethernet4,172.31.251.28/31,l3leaf,DC1-SVC3A,Ethernet3,172.31.251.29/31
spine,DC1-SPINE3,Ethernet5,172.31.251.36/31,l3leaf,DC1-SVC3B,Ethernet3,172.31.251.37/31
spine,DC1-SPINE4,Ethernet4,172.31.251.30/31,l3leaf,DC1-SVC3A,Ethernet4,172.31.251.31/31
spine,DC1-SPINE4,Ethernet5,172.31.251.38/31,l3leaf,DC1-SVC3B,Ethernet4,172.31.251.39/31
